name,entry_id,spacegroup,prototype,ntypes,band_gap,delta_e,volume_pa,stability
AlNi,10516,Pm-3m,CsCl,2,0.0,-0.669379795,,6.6560000001048e-05
ScAl,10539,Pm-3m,CsCl,2,0.0,-0.4495093125,,0.005456309999999631
SmAl,10542,Pm-3m,CsCl,2,0.0,-0.37334288375,,0.03149970750000042
AlOs,10544,Pm-3m,CsCl,2,0.0,-0.39558665,,0.02626261000000013
AlPd,10550,Pm-3m,CsCl,2,0.0,-0.875974275,,0.03641273999999928
PrAl,10558,Pm-3m,CsCl,2,0.0,-0.33769230375,,0.05212252500000003
AlPt,10561,Pm-3m,CsCl,2,0.0,-0.93678468,,0.11153046249999987
AlRe,10573,Pm-3m,CsCl,2,0.0,0.0126065124999997,,0.3160960449999997
AlRh,10576,Pm-3m,CsCl,2,0.0,-1.09711632,,8.740499999992934e-05
YAl,10609,Pm-3m,CsCl,2,0.0,-0.4167731625,,0.021175009374999998
ErAg,10623,Pm-3m,CsCl,2,0.0,-0.34775013375,,0.0008020950000000027
GdAg,10632,Pm-3m,CsCl,2,0.0,-0.3190237025,,0.0007009849999999873
LaAg,10639,Pm-3m,CsCl,2,0.0,-0.26489468875,,0.006768492500000001
LiAg,10649,Pm-3m,CsCl,2,0.0,-0.23234209875,,0.00033476999999998425
NdAg,10660,Pm-3m,CsCl,2,0.0,-0.26962120625,,0.0014401800000004017
PrAg,10662,Pm-3m,CsCl,2,0.0,-0.2577073275,,0.0069572949999999745
ScAg,10665,Pm-3m,CsCl,2,0.0,-0.28691686625,,0.001398430000000006
SmAg,10667,Pm-3m,CsCl,2,0.0,-0.2925637975,,0.00102392499999987
