dir,status,volume_returncode,relax_returncode,static_returncode,energy_source,energy_eV,free_energy_TOTEN_eV,lattice_type,atoms_per_cubic_cell,natoms,volume_A3,a_lattice_A,a_bcc_A,cell_a_A,cell_b_A,cell_c_A,relax_converged,note,structure_root,case_dir
Mg8Ru8,OK,0,0,0,static_OUTCAR,-83.1353915900,-83.1333752100,bcc,2.0,16,246.72163117,3.13597371,3.13597371,6.27194743,6.27194743,6.27194743,yes,CLEANED:0,BCC_SQS,Mg8Ru8
Mg8Sc8,OK,0,0,0,static_OUTCAR,-61.4374185500,-61.4389223100,bcc,2.0,16,377.92161586,3.61496349,3.61496349,7.22992698,7.22992698,7.22992698,yes,CLEANED:0,BCC_SQS,Mg8Sc8
Mg8Si8,OK,0,0,0,static_OUTCAR,-52.6563181800,-52.6562240100,bcc,2.0,16,286.58495348,3.29651052,3.29651052,6.59302104,6.59302104,6.59302104,yes,CLEANED:0,BCC_SQS,Mg8Si8
Mg8Sn8,OK,0,0,0,static_OUTCAR,-43.0158362300,-43.0154724100,bcc,2.0,16,402.18415460,3.69072474,3.69072474,7.38144949,7.38144949,7.38144949,yes,CLEANED:0,BCC_SQS,Mg8Sn8
Mg8Ta8,OK,0,0,0,static_OUTCAR,-101.4492105900,-101.4494380400,bcc,2.0,16,301.75173129,3.35366693,3.35366693,6.70733385,6.70733385,6.70733385,yes,CLEANED:0,BCC_SQS,Mg8Ta8
Mg8Tb8,OK,0,0,0,static_OUTCAR,-48.1952431000,-48.1955049500,bcc,2.0,16,446.33544969,3.82111814,3.82111814,7.64223627,7.64223627,7.64223627,yes,CLEANED:0,BCC_SQS,Mg8Tb8
Mg8Ti8,OK,0,0,0,static_OUTCAR,-71.5873979700,-71.5884747800,bcc,2.0,16,306.04157313,3.36948463,3.36948463,6.73896926,6.73896926,6.73896926,yes,CLEANED:0,BCC_SQS,Mg8Ti8
Mg8V8,OK,0,0,0,static_OUTCAR,-78.4131739800,-78.4130736500,bcc,2.0,16,266.45856748,3.21746057,3.21746057,6.43492115,6.43492115,6.43492115,yes,CLEANED:0,BCC_SQS,Mg8V8
Mg8W8,OK,0,0,0,static_OUTCAR,-108.1152862900,-108.1151182700,bcc,2.0,16,270.86613826,3.23510397,3.23510397,6.47020795,6.47020795,6.47020795,yes,CLEANED:0,BCC_SQS,Mg8W8
Mg8Y8,OK,0,0,0,static_OUTCAR,-63.1795561600,-63.1799300300,bcc,2.0,16,448.40171659,3.82700556,3.82700556,7.65401112,7.65401112,7.65401112,yes,CLEANED:0,BCC_SQS,Mg8Y8
